date,scene_id,acquired_utc,polarisation,relative_orbit,orbit_state,platform,valid_share,water_cells,land_cells,water_median_db,water_p5_db,water_p95_db,land_median_db,land_contrast_db,passes_gates,reject_reason,role,season,target_day,offset_days,spread_db
2021-03-15,S1B_IW_GRDH_1SDH_20210315T100732_20210315T100801_026024_031AE1_rtc,2021-03-15T10:07:47.267637Z,HH,98,descending,SENTINEL-1B,1.0,2528997,141891,-22.171,-26.256,-15.268,-11.718,10.453,1,,suspect,2021,2021-03-14,1,10.988
2021-03-16,S1A_IW_GRDH_1SDH_20210316T095957_20210316T100026_037022_045B64_rtc,2021-03-16T10:00:11.900048Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-20.58,-25.439,-14.509,-12.017,8.563,1,,suspect,2021,2021-03-14,2,10.93
2021-04-27,S1B_IW_GRDH_1SDH_20210427T095928_20210427T095957_026651_032EC8_rtc,2021-04-27T09:59:42.536898Z,HH,25,descending,SENTINEL-1B,1.0,2528997,141891,-21.732,-25.838,-14.283,-11.655,10.077,1,,suspect,2021,2021-04-29,-2,11.555
2021-05-01,S1B_IW_GRDH_1SDH_20210501T204721_20210501T204746_026716_0330FA_rtc,2021-05-01T20:47:33.784111Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-21.201,-25.837,-12.6,-9.876,11.325,1,,suspect,2021,2021-04-29,2,13.237
2021-05-01,S1B_IW_GRDH_1SDH_20210501T204721_20210501T204746_026716_0330FA_rtc,2021-05-01T20:47:33.784111Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-21.201,-25.837,-12.6,-9.876,11.325,1,,suspect,2021,2021-05-01,0,13.237
2021-05-02,S1B_IW_GRDH_1SDH_20210502T100734_20210502T100803_026724_033135_rtc,2021-05-02T10:07:48.895261Z,HH,98,descending,SENTINEL-1B,1.0,2528997,141891,-18.672,-22.789,-13.659,-10.837,7.835,1,,suspect,2021,2021-05-01,1,9.13
2021-05-03,S1A_IW_GRDH_1SDH_20210503T095959_20210503T100028_037722_0473A0_rtc,2021-05-03T10:00:13.556882Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-19.703,-24.328,-14.062,-10.709,8.994,1,,suspect,2021,2021-05-01,2,10.266
2021-05-13,S1B_IW_GRDH_1SDH_20210513T204722_20210513T204747_026891_033678_rtc,2021-05-13T20:47:34.553346Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-19.341,-24.677,-14.292,-9.579,9.762,1,,suspect,2021,2021-05-15,-2,10.385
2021-05-14,S1B_IW_GRDH_1SDH_20210514T100735_20210514T100804_026899_0336AB_rtc,2021-05-14T10:07:49.662693Z,HH,98,descending,SENTINEL-1B,1.0,2528997,141891,-19.694,-24.087,-16.206,-10.281,9.412,1,,suspect,2021,2021-05-15,-1,7.881
2021-05-15,S1A_IW_GRDH_1SDH_20210515T095959_20210515T100028_037897_047900_rtc,2021-05-15T10:00:14.221614Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-25.026,-28.7,-20.98,-10.89,14.136,1,,suspect,2021,2021-05-15,0,7.72
