date,season,doy,group,s2_ice,s2_share,landsat_id,landsat_cloud,landsat_sun,landsat_ice,landsat_share
2021-06-18,2021,169,"season, ordinary",0.00412372477231567,0.921435860495828,LC08_L2SP_011010_20210618_02_T1,0.17,42.47082739,0.003979704579342008,0.9961105709126268
2021-07-11,2021,192,"july anchor, control",0.0032402886456734856,0.9467554376211945,LC08_L2SP_012010_20210711_02_T1,1.34,41.04655736,0.003095344473237423,0.9964881162269689
2022-03-08,2022,67,"winter, ordinary",0.8836852965412039,0.943042283189478,LC08_L2SP_012010_20220308_02_T1,6.15,14.2701988,0.33836830382450506,0.9738567678559344
2022-03-17,2022,76,"winter, ordinary",0.9861839423991305,0.8844113636227104,LC08_L2SP_011010_20220317_02_T1,0.28,17.82658149,0.9865751279296342,0.9779314078522302
2022-03-23,2022,82,"winter, ordinary",0.9908258624512941,0.9467979172665323,LC09_L2SP_013010_20220323_02_T1,10.03,20.21074194,0.9940729466993923,0.9969440200027782
2022-04-02,2022,92,"april anchor, control",0.9940890323644505,0.9467461661322669,LC08_L2SP_011010_20220402_02_T1,0.0,24.12246571,0.9769958775640086,0.996181805877597
2022-04-17,2022,107,"april anchor, control",0.9996832134824342,0.9467979172665323,LC09_L2SP_012010_20220417_02_T1,7.32,29.67858595,0.9992591537256019,0.9999964382517514
2022-05-02,2022,122,"season, ordinary",0.9989013235218969,0.9391185415804344,LC08_L2SP_013010_20220502_02_T1,2.25,34.57160608,0.9982424484709662,0.988951456933121
2022-05-11,2022,131,"season, ordinary",0.9996843261048586,0.875521215107127,LC08_L2SP_012010_20220511_02_T1,0.04,37.0586584,0.9999002685625138,0.9999750677622604
2022-05-19,2022,139,"season, ordinary",0.9996730725494656,0.844394567702676,LC09_L2SP_012010_20220519_02_T1,10.78,38.92435766,0.9998820084310339,0.9961533118916088
2022-05-20,2022,140,"season, ordinary",0.9965274917464562,0.9467902567794576,LC08_L2SP_011010_20220520_02_T1,0.18,39.13547161,0.9972369978466409,0.9990418897211507
2022-06-19,2022,170,"season, ordinary",0.0017371127157918761,0.9467653449538421,LC08_L2SP_013010_20220619_02_T1,13.26,42.48318718,0.001761733574425203,0.996712506366625
2022-06-20,2022,171,"season, ordinary",0.0012921523281934385,0.9074351342413036,LC09_L2SP_012010_20220620_02_T1,7.06,42.48772167,0.00122137622673314,0.9973322505618658
2022-07-05,2022,186,"july anchor, control",0.0011817394398823632,0.8954121049245772,LC08_L2SP_013010_20220705_02_T1,1.61,41.78189728,0.0011218557573063992,0.9937348848308704
2022-07-15,2022,196,"july anchor, control",0.0004140927296178128,0.8859899197671202,LC09_L2SP_011010_20220715_02_T1,17.05,40.48424764,0.00045623268596956744,0.9758584703715972
2023-03-26,2023,85,"winter, ordinary",0.99092339665487,0.94438661616795,LC09_L2SP_013010_20230326_02_T1,0.02,21.30103447,0.8281915222941303,0.9779812723277094
2023-03-28,2023,87,"winter, ordinary",0.9897392362248411,0.9440328646793044,LC09_L2SP_011010_20230328_02_T1,0.0,22.08408726,0.8188928257026242,0.9791174700189841
