day,season,doy,scene,sun_elevation,scene_cloud,landsat_ice,landsat_share,kelvin,thermal_cells,frozen_share,celsius,thermal_minus_optical,below_freezing,chain_says_open,contradicted
2019-05-12,2019,132,LC08_L1TP_011010_20190512_20200829_02_T1,37.23838941,0.03,0.9397356313444826,0.9754203753370304,271.3795904233607,280761,0.4326883007255281,-1.7704095766392811,-0.5070473306189545,False,False,False
2019-05-14,2019,134,LC08_L1TP_082234_20190514_20200828_02_T1,5.94045208,0.01,0.7259295958471829,0.963335363529835,269.5037545131268,280761,0.8488429660814715,-3.6462454868731697,0.12291337023428861,True,False,False
2019-05-28,2019,148,LC08_L1TP_011010_20190528_20200828_02_T1,40.54843763,0.24,0.0014865356233824,0.999134495175612,276.71800191508754,280761,0.0,3.5680019150875637,-0.0014865356233824,False,True,False
2019-05-30,2019,150,LC08_L1TP_082234_20190530_20200828_02_T1,9.07847516,0.05,0.0014904777016691,0.9988816110499678,277.0346887232368,280761,0.0,3.8846887232368204,-0.0014904777016691,False,True,False
2019-06-06,2019,157,LC08_L1TP_083234_20190606_20200828_02_T1,10.01603665,1.23,0.0009733765469734,0.998952846014938,277.14195361053606,280761,0.0,3.991953610536086,-0.0009733765469734,False,True,False
2019-06-11,2019,162,LC08_L1TP_013010_20190611_20200828_02_T1,42.15322167,0.41,0.0003601329282729,0.9988994197912104,277.98436175997307,280721,0.0,4.834361759973092,-0.0003601329282729,False,True,False
2019-06-23,2019,174,LC08_L1TP_081234_20190623_20200827_02_T2,11.02278663,48.92,0.0075846078546956,0.9969653904922692,274.8936497357708,280761,0.0,1.7436497357708163,-0.0075846078546956,False,True,False
2020-02-24,2020,55,LC08_L1TP_011010_20200224_20200822_02_T1,9.48182563,19.58,0.9407823736202676,1.0,249.27028526745895,280761,1.0,-23.879714732541032,0.05921762637973238,True,False,False
2020-03-02,2020,62,LC08_L1TP_012010_20200302_20200822_02_T1,12.12892084,1.68,0.9680404329661172,1.0,244.6246883825181,280761,1.0,-28.52531161748189,0.03195956703388281,True,False,False
2020-03-09,2020,69,LC08_L1TP_013010_20200309_20200822_02_T1,14.85667936,15.12,1.0,0.9821235855407268,247.14007014673467,275742,1.0,-26.009929853265305,0.0,True,False,False
2020-03-11,2020,71,LC08_L1TP_011010_20200311_20200822_02_T1,15.64183741,20.46,1.0,1.0,244.80884742530142,280761,1.0,-28.341152574698555,0.0,True,False,False
2020-03-18,2020,78,LC08_L1TP_012010_20200318_20200822_02_T1,18.41884487,0.71,1.0,1.0,250.87010520547815,280761,1.0,-22.279894794521823,0.0,True,False,False
2020-04-03,2020,94,LC08_L1TP_012010_20200403_20200822_02_T1,24.69576679,1.07,0.9968692232895594,1.0,254.9005486218287,280761,1.0,-18.249451378171273,0.003130776710440597,True,False,False
2020-04-10,2020,101,LC08_L1TP_013010_20200410_20200822_02_T1,27.33030169,0.03,0.998372269455298,0.999992876503503,267.3953818133269,280761,0.999985753007006,-5.754618186673099,0.0016134835517079837,True,False,False
2020-04-19,2020,110,LC08_L1TP_012010_20200419_20200822_02_T1,30.54175683,70.88,1.0,0.9074337247694658,265.8731716251863,254772,1.0,-7.276828374813704,0.0,True,False,False
2020-04-26,2020,117,LC08_L1TP_013010_20200426_20200822_02_T1,32.86762881,56.29,0.2687816277952559,0.9860806878448216,271.03097939219396,280761,0.9652943250665157,-2.1190206078060214,0.6965126972712599,True,True,True
2020-05-05,2020,126,LC08_L1TP_012010_20200505_20200820_02_T1,35.57474821,1.23,0.9948080918222992,0.9995298492311966,265.86007501596885,280761,0.999978629510509,-7.289924984031131,0.005170537688209742,True,False,False
2020-05-12,2020,133,LC08_L1TP_013010_20200512_20200820_02_T1,37.42850553,0.46,0.5654148577891192,0.995184516368014,271.79128678858126,280761,0.21287144582046652,-1.358713211418717,-0.35254341196865263,False,False,False
2020-05-21,2020,142,LC08_L1TP_012010_20200521_20200820_02_T1,39.43295344,0.18,0.3904803458225936,0.9714347790469474,272.4663064597682,280761,0.0014531932853922018,-0.6836935402317863,-0.3890271525372014,False,True,False
2020-06-13,2020,165,LC08_L1TP_013010_20200613_20200823_02_T1,42.31401373,6.5,0.0041009022701935,0.9935959766491784,275.5586581038274,280202,0.0,2.408658103827406,-0.0041009022701935,False,True,False
2021-02-24,2021,55,LC08_L1TP_013010_20210224_20210303_02_T1,9.76617904,29.77,0.4088643740813327,0.9304996064268184,261.76652736560874,280632,1.0,-11.38347263439124,0.5911356259186673,True,True,True
2021-03-12,2021,71,LC08_L1TP_013010_20210312_20210317_02_T1,15.9442858,14.72,0.2617672512121201,0.9836444520428408,265.07726826544774,280761,1.0,-8.072731734552235,0.7382327487878799,True,True,True
2021-03-14,2021,73,LC08_L1TP_011010_20210314_20210328_02_T1,16.73343613,3.84,0.1750947113747817,0.9834058149101904,265.5681667872916,280761,1.0,-7.581833212708375,0.8249052886252183,True,True,True
2021-03-28,2021,87,LC08_L1TP_013010_20210328_20210402_02_T1,22.27703653,1.07,0.9943083262988806,1.0,249.109208893505,280761,1.0,-24.040791106494964,0.0056916737011194485,True,False,False
2021-04-29,2021,119,LC08_L1TP_013010_20210429_20210508_02_T1,33.73255178,3.91,0.023700979774828,0.9898846349742308,270.1676539374716,280761,0.9573694352135802,-2.982346062528393,0.9336684554387522,True,True,True
2021-05-01,2021,121,LC08_L1TP_011010_20210501_20210508_02_T1,34.3387279,100.0,0.0245047594545922,0.9968051118210862,269.9614875830122,280761,0.9945362781867852,-3.1885124169878054,0.9700315187321931,True,True,True
2021-05-15,2021,135,LC08_L1TP_013010_20210515_20210525_02_T1,38.09125964,13.14,0.002409053759373,0.9979769269948462,269.8644904257958,280759,0.9693260055777375,-3.285509574204184,0.9669169518183646,True,True,True
2021-05-26,2021,146,LC08_L1TP_083234_20210526_20210529_02_T1,8.51199539,29.05,0.0405849732541591,0.9435106727786268,270.972233401246,276446,0.8753463605912185,-2.1777665987539763,0.8347613873370594,True,True,True
2021-06-02,2021,153,LC08_L1TP_011010_20210602_20210608_02_T1,41.33431933,0.03,0.012893793320393,0.9963883872760104,273.69680673128,280761,0.0,0.5468067312800144,-0.012893793320393,False,True,False
2021-06-09,2021,160,LC08_L1TP_012010_20210609_20210615_02_T1,42.04560998,1.4,0.0069960740685272,0.9988673640569736,277.30986098243204,280761,0.0,4.159860982432065,-0.0069960740685272,False,True,False
2021-06-18,2021,169,LC08_L1TP_011010_20210618_20210628_02_T1,42.47082739,0.17,0.0040351758973097,0.9991879213993397,277.26935811636486,280761,0.0,4.119358116364879,-0.0040351758973097,False,True,False
2021-06-20,2021,171,LC08_L1TP_082234_20210620_20210628_02_T1,10.99745197,10.11,0.0044324944994989,0.9988174995814946,277.7974666183782,280761,0.0,4.647466618378246,-0.0044324944994989,False,True,False
2022-02-21,2022,52,LC09_L1TP_011010_20220221_20230427_02_T1,8.56711961,11.09,0.9775977464874284,0.9382036678883464,257.21271047918054,278980,1.0,-15.937289520819434,0.022402253512571635,True,False,False
2022-02-28,2022,59,LC09_L1TP_012010_20220228_20230426_02_T1,11.17566548,16.63,0.6101415077109649,0.9750855710016704,261.66018870295807,280761,1.0,-11.48981129704191,0.38985849228903513,True,False,False
2022-03-01,2022,60,LC08_L1TP_011010_20220301_20220308_02_T1,11.55508295,0.7,0.9150175964922402,0.9877725182628642,261.06296128155975,280761,1.0,-12.087038718440226,0.08498240350775976,True,False,False
