import time: self [us] | cumulative | imported package
import time:       330 |        330 |                                         torch.utils.data.datapipes.dataframe.dataframe_wrapper
import time:       291 |        621 |                                       torch.utils.data.datapipes.dataframe.structures
import time:      1033 |      11221 |                                     torch.utils.data.datapipes.dataframe.dataframes
import time:       351 |        351 |                                     torch.utils.data.datapipes.dataframe.datapipes
import time:       257 |      11828 |                                   torch.utils.data.datapipes.dataframe
import time:       360 |        360 |                                           torch.utils.data._utils.collate
import time:       214 |        214 |                                           torch.utils.data._utils.fetch
import time:       177 |        177 |                                           torch.utils.data._utils.pin_memory
import time:      7980 |       7980 |                                           torch.utils.data._utils.signal_handling
import time:       933 |        933 |                                           torch.utils.data._utils.worker
import time:       244 |       9906 |                                         torch.utils.data._utils
import time:        11 |       9916 |                                       torch.utils.data._utils.collate
import time:       371 |      10286 |                                     torch.utils.data.datapipes.iter.callable
import time:       348 |        348 |                                       torch.utils.data.sampler
import time:       422 |        770 |                                     torch.utils.data.datapipes.iter.combinatorics
import time:       573 |        573 |                                     torch.utils.data.datapipes.iter.combining
import time:       198 |        198 |                                       torch.utils.data.datapipes.iter.utils
import time:       261 |        458 |                                     torch.utils.data.datapipes.iter.filelister
import time:       219 |        219 |                                     torch.utils.data.datapipes.iter.fileopener
import time:       321 |        321 |                                       torch.utils.data.datapipes.iter.sharding
import time:       296 |        617 |                                     torch.utils.data.datapipes.iter.grouping
import time:       240 |        240 |                                       torch.utils.data.datapipes.utils.decoder
import time:       249 |        488 |                                     torch.utils.data.datapipes.iter.routeddecoder
import time:       223 |        223 |                                     torch.utils.data.datapipes.iter.selecting
import time:       210 |        210 |                                     torch.utils.data.datapipes.iter.streamreader
import time:       268 |      14106 |                                   torch.utils.data.datapipes.iter
import time:       290 |        290 |                                     torch.utils.data.datapipes.map.callable
import time:       282 |        282 |                                     torch.utils.data.datapipes.map.combinatorics
import time:       301 |        301 |                                     torch.utils.data.datapipes.map.combining
import time:       272 |        272 |                                     torch.utils.data.datapipes.map.grouping
import time:       242 |        242 |                                     torch.utils.data.datapipes.map.utils
import time:       202 |       1587 |                                   torch.utils.data.datapipes.map
import time:       249 |      27769 |                                 torch.utils.data.datapipes
import time:         9 |      27777 |                               torch.utils.data.datapipes.iter
import time:         9 |      27786 |                             torch.utils.data.datapipes.iter.sharding
import time:       307 |        307 |                             torch.utils.data.graph
import time:       290 |      28383 |                           torch.utils.data.graph_settings
import time:       583 |      43482 |                         torch.utils.data.dataloader
import time:       231 |        231 |                         torch.utils.data.distributed
import time:       157 |      43868 |                       torch.utils.data
import time:       116 |        116 |                       torch.utils.deterministic
import time:       521 |        521 |                       torch.utils.hooks
import time:       318 |        318 |                       torch.utils.backend_registration
import time:       126 |        126 |                       torch.utils.cpp_backtrace
import time:       254 |        254 |                       torch.utils.throughput_benchmark
import time:       360 |      47165 |                     torch.utils
import time:       261 |        261 |                     torchgen
import time:       382 |        382 |                         torchgen.code_template
import time:       452 |        833 |                       torchgen.utils
import time:      7144 |       7977 |                     torchgen.model
